札番号,元の漢字,元のひらがな,単語数(元システム),満点スコア(元システム),決まり字,現代語発音（全体）,漢字パーツ(1句目),漢字パーツ(2句目),漢字パーツ(3句目),漢字パーツ(4句目),漢字パーツ(5句目),ひらがなパーツ(1句目),ひらがなパーツ(2句目),ひらがなパーツ(3句目),ひらがなパーツ(4句目),ひらがなパーツ(5句目)
74,憂かりける　人を初瀬の　山おろしよ,うかりける　ひとをはつせの　やまおろしよ,22,52,うか,,憂か 憂かり ける りける,人を 人を初 瀬の 初瀬の,山お 山おろ しよ ろしよ,,,りけ,ひと をは つせ つせの とをは せの,やま おろ,,
75,契りおきし　させもが露を　命にて,ちぎりおきし　させもがつゆを　いのちにて,22,54,ちぎりお,,契り 契りお きし おきし,させ させも 露を が露を,命に 命にて にて,,,ちぎ りお,もが つゆ つゆを せもが ゆを,いの ちに ちにて,,
76,わたの原　漕ぎ出でて見れば　ひさかたの,わたのはら　こぎいでてみれば　ひさかたの,22,57,わたのはらこ,,わた わたの の原 たの原,漕ぎ 漕ぎ出 れば 見れば,ひさ ひさか たの かたの,,,のは のはら はら,こぎ いで てみ みれば ぎいで,かた,,
77,瀬をはやみ　岩にせかるる　滝川の,せをはやみ　いはにせかるる　たきがはの,22,50,せ,,瀬を 瀬をは やみ はやみ,岩に 岩にせ るる かるる,滝川 滝川の 川の,,,せを はや,いは にせ かる はにせ,たき がは がはの はの,,
78,淡路島　通ふ千鳥の　鳴く声に,あはぢしま　かよふちどりの　なくこゑに,27,65,あはぢ,あわじ,淡路 淡路島 路島,通ふ 通ふ千 鳥の 千鳥の,鳴く 鳴く声 声に く声に,,,あは ぢし ぢしま しま,かよ ふち どり どりの よふち りの,なく こゑ こゑに ゑに,,
79,秋風に　たなびく雲の　絶え間より,あきかぜに　たなびくくもの　たえまより,24,58,あきか,,秋風 秋風に 風に,たな たなび 雲の く雲の,絶え 絶え間 より 間より,,,あき かぜ かぜに ぜに,びく くも くもの なびく もの,たえ まよ まより,,
80,長からむ　心も知らず　黒髪の,ながからむ　こころもしらず　くろかみの,23,55,ながか,,長か 長から らむ からむ,心も 心も知 らず 知らず,黒髪 黒髪の 髪の,,,なが から,ここ ろも しら しらず ころも,くろ かみ かみの みの,,
81,ほととぎす　鳴きつる方を　ながむれば,ほととぎす　なきつるかたを　ながむれば,21,49,ほ,,ほと ほとと ぎす とぎす,鳴き 鳴きつ 方を る方を,なが ながむ れば むれば,,,とぎ,なき つる かた かたを きつる たを,むれ,,
82,思ひわび　さても命は　あるものを,おもひわび　さてもいのちは　あるものを,22,54,おもひ,おもい,思ひ 思ひわ わび ひわび,さて さても 命は も命は,ある あるも のを ものを,,,おも ひわ,もい のち のちは てもい ちは,もの,,
83,世の中よ　道こそなけれ　思ひ入る,よのなかよ　みちこそなけれ　おもひいる,25,62,よのなかよ,,世の 世の中 中よ の中よ,道こ 道こそ けれ なけれ,思ひ 思ひ入 入る ひ入る,,,よの なか なかよ かよ,みち こそ なけ ちこそ,おも ひい ひいる いる,,
84,長らへば　またこのごろや　しのばれむ,ながらへば　またこのごろや　しのばれむ,19,46,ながら,,長ら 長らへ へば らへば,また またこ ろや ごろや,しの しのば れむ ばれむ,,,なが らへ,この ごろ たこの,ばれ,,
85,夜もすがら　物思ふころは　明けやらで,よもすがら　ものおもふころは　あけやらで,20,47,よも,,夜も 夜もす がら すがら,物思 物思ふ ろは ころは,明け 明けや らで やらで,,,すが,もの おも ふこ のおも,あけ やら,,
86,嘆けとて　月やは物を　思はする,なげけとて　つきやはものを　おもはする,23,55,なげけ,,嘆け 嘆けと とて けとて,月や 月やは 物を は物を,思は 思はす する はする,,,なげ けと,つき やは もの ものを きやは のを,おも はす,,
87,村雨の　露もまだ干ぬ　真木の葉に,むらさめの　つゆもまだひぬ　まきのはに,26,60,む,,村雨 村雨の 雨の,露も 露もま 干ぬ だ干ぬ,真木 真木の 葉に の葉に,,,むら さめ さめの めの,つゆ もま だひ だひぬ ゆもま ひぬ,まき のは のはに はに,,
88,難波江の　蘆のかりねの　ひとよゆゑ,なにはえの　あしのかりねの　ひとよゆゑ,22,54,なにはえ,,難波 難波江 江の 波江の,蘆の 蘆のか ねの りねの,ひと ひとよ ゆゑ よゆゑ,,,なに はえ はえの えの,あし のか りね しのか,よゆ,,
89,玉の緒よ　絶えなば絶えね　ながらへば,たまのをよ　たえなばたえね　ながらへば,21,51,たま,,玉の 玉の緒 緒よ の緒よ,絶え 絶えな えね 絶えね,なが ながら へば らへば,,,のを のをよ をよ,たえ なば たえね えなば,らへ,,
90,見せばやな　雄島の海人の　袖だにも,みせばやな　をじまのあまの　そでだにも,21,50,みせ,,見せ 見せば やな ばやな,雄島 雄島の 人の 海人の,袖だ 袖だに にも だにも,,,ばや,をじ まの あま あまの じまの,そで だに,,
91,きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす　なくやしもよの　さむしろに,20,48,きり,,きりぎ りす ぎりす,鳴く 鳴くや 夜の 霜夜の,さむ さむし ろに しろに,,,ぎり,なく やし もよ もよの くやし よの,しろ,,
92,わが袖は　潮干に見えぬ　沖の石の,わがそでは　しほひにみえぬ　おきのいしの,25,61,わがそ,,わが わが袖 袖は が袖は,潮干 潮干に えぬ 見えぬ,沖の 沖の石 石の の石の,,,そで そでは では,しほ ひに みえ みえぬ ほひに,おき のい いしの しの,,
93,世の中は　常にもがもな　渚漕ぐ,よのなかは　つねにもがもな　なぎさこぐ,24,59,よのなかは,,世の 世の中 中は の中は,常に 常にも もな がもな,渚漕 渚漕ぐ 漕ぐ,,,よの なか なかは かは,つね にも がも ねにも,なぎ さこ さこぐ こぐ,,
94,み吉野の　山の秋風　さよ更けて,みよしのの　やまのあきかぜ　さよふけて,24,58,みよ,,み吉 み吉野 野の 吉野の,山の 山の秋 秋風 の秋風,さよ さよ更 けて 更けて,,,しの しのの のの,やま のあ きか きかぜ まのあ かぜ,ふけ ふけて,,
95,おほけなく　憂き世の民に　おほふかな,おほけなく　うきよのたみに　おほふかな,20,49,おほけ,おおけ,おほ なく けなく,憂き 憂き世 民に の民に,おほふ かな ふかな,,,けな,うき よの たみ たみに きよの みに,ふか,,
96,花さそふ　嵐の庭の　雪ならで,はなさそふ　あらしのにはの　ゆきならで,23,55,はなさ,,花さ 花さそ そふ さそふ,嵐の 嵐の庭 庭の の庭の,雪な 雪なら らで ならで,,,はな さそ,あら しの には にはの らしの はの,ゆき なら,,
97,来ぬ人を　松帆の浦の　夕なぎに,こぬひとを　まつほのうらの　ゆふなぎに,24,57,こぬ,,来ぬ 来ぬ人 人を ぬ人を,松帆 松帆の 浦の の浦の,夕な 夕なぎ ぎに なぎに,,,ひと ひとを とを,まつ ほの うら うらの つほの らの,ゆふ なぎ,,
98,風そよぐ　楢の小川の　夕暮は,かぜそよぐ　ならのをがはの　ゆふぐれは,24,57,かぜそ,,風そ 風そよ よぐ そよぐ,楢の 楢の小 川の 小川の,夕暮 夕暮は 暮は,,,かぜ そよ,なら のを がは がはの らのを はの,ゆふ ぐれ ぐれは れは,,
